104.222: [GC [PSYoungGen: 2491856K->34976K(2591872K)] 4311178K->1888610K(5322560K), 0.0643740 secs] [Times: user=0.46 sys=0.04, real=0.07 secs] 
107.723: [GC [PSYoungGen: 2489888K->34192K(2590272K)] 4343522K->1922535K(5320960K), 0.0653770 secs] [Times: user=0.47 sys=0.05, real=0.07 secs] 
111.188: [GC [PSYoungGen: 2492496K->34800K(2591488K)] 4380839K->1957097K(5322176K), 0.0623830 secs] [Times: user=0.43 sys=0.05, real=0.06 secs] 
114.396: [GC [PSYoungGen: 2493104K->34944K(2592576K)] 4415401K->1990713K(5323264K), 0.0645150 secs] [Times: user=0.43 sys=0.05, real=0.06 secs] 
117.539: [GC [PSYoungGen: 2502080K->37968K(2594176K)] 4457849K->2026839K(5324864K), 0.0653600 secs] [Times: user=0.46 sys=0.05, real=0.06 secs] 
120.562: [GC [PSYoungGen: 2505104K->35952K(2598400K)] 4493975K->2058141K(5329088K), 0.0654310 secs] [Times: user=0.44 sys=0.04, real=0.07 secs] 
123.766: [GC [PSYoungGen: 2516592K->41600K(2599744K)] 4538781K->2096843K(5330432K), 0.0678900 secs] [Times: user=0.48 sys=0.04, real=0.07 secs] 
126.677: [GC [PSYoungGen: 2522240K->37392K(2607104K)] 4577483K->2128184K(5337792K), 0.0633990 secs] [Times: user=0.44 sys=0.05, real=0.07 secs] 
129.608: [GC [PSYoungGen: 2534672K->39488K(2607552K)] 4625464K->2163562K(5338240K), 0.0666640 secs] [Times: user=0.48 sys=0.05, real=0.07 secs] 
132.557: [GC [PSYoungGen: 2536768K->38656K(2616128K)] 4660842K->2196121K(5346816K), 0.0638090 secs] [Times: user=0.45 sys=0.05, real=0.07 secs] 
135.497: [GC [PSYoungGen: 2553024K->36000K(2616320K)] 4710489K->2226983K(5347008K), 0.0656480 secs] [Times: user=0.43 sys=0.06, real=0.07 secs] 
138.513: [GC [PSYoungGen: 2550368K->34368K(2625600K)] 4741351K->2258999K(5356288K), 0.0639910 secs] [Times: user=0.44 sys=0.05, real=0.06 secs] 
141.490: [GC [PSYoungGen: 2564352K->37936K(2625408K)] 4788983K->2296135K(5356096K), 0.0681780 secs] [Times: user=0.47 sys=0.05, real=0.06 secs] 
144.797: [GC [PSYoungGen: 2567920K->36144K(2631936K)] 4826119K->2328126K(5362624K), 0.0668860 secs] [Times: user=0.46 sys=0.05, real=0.07 secs] 
148.196: [GC [PSYoungGen: 2578992K->40336K(2631232K)] 4870974K->2368191K(5361920K), 0.0711940 secs] [Times: user=0.51 sys=0.05, real=0.07 secs] 
151.284: [GC [PSYoungGen: 2583184K->36432K(2639360K)] 4911039K->2402079K(5370048K), 0.0678420 secs] [Times: user=0.49 sys=0.05, real=0.07 secs] 
154.595: [GC [PSYoungGen: 2592464K->37984K(2637632K)] 4958111K->2438836K(5368320K), 0.0665150 secs] [Times: user=0.46 sys=0.06, real=0.06 secs] 
157.919: [GC [PSYoungGen: 2594016K->38352K(2646016K)] 4994868K->2476036K(5376704K), 0.0669890 secs] [Times: user=0.46 sys=0.07, real=0.07 secs] 
161.333: [GC [PSYoungGen: 2607056K->37136K(2644224K)] 5044740K->2511900K(5374912K), 0.0692120 secs] [Times: user=0.47 sys=0.07, real=0.07 secs] 
164.934: [GC [PSYoungGen: 2605840K->37680K(2652608K)] 5080604K->2548922K(5383296K), 0.0694460 secs] [Times: user=0.50 sys=0.04, real=0.06 secs] 
168.477: [GC [PSYoungGen: 2617968K->36368K(2650752K)] 5129210K->2583863K(5381440K), 0.0707740 secs] [Times: user=0.47 sys=0.06, real=0.07 secs] 
172.726: [GC [PSYoungGen: 2616656K->37312K(2657920K)] 5164151K->2619413K(5388608K), 0.0707640 secs] [Times: user=0.47 sys=0.05, real=0.07 secs] 
177.005: [GC [PSYoungGen: 2627392K->47536K(2656128K)] 5209493K->2665270K(5386816K), 0.0781690 secs] [Times: user=0.54 sys=0.05, real=0.08 secs] 
180.722: [GC [PSYoungGen: 2637616K->45040K(2663616K)] 5255350K->2708108K(5394304K), 0.0860670 secs] [Times: user=0.60 sys=0.07, real=0.09 secs] 
184.495: [GC [PSYoungGen: 2642736K->57008K(2654720K)] 5305804K->2754515K(5385408K), 0.0872480 secs] [Times: user=0.63 sys=0.05, real=0.09 secs] 
