time,build_number,project_name,project_name_1,project_path,rf_critical_failed,rf_critical_passed,rf_duration,rf_failed,rf_name,rf_name_1,rf_passed,rf_suite_name
2019-03-03T11:43:51.394000161Z,2631,Altiplano,Altiplano,Altiplano,1,0,216854,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-04-23T16:13:02.620000159Z,3472,Altiplano,Altiplano,Altiplano,1,0,206471,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-04-27T06:43:09.952000141Z,3528,Altiplano,Altiplano,Altiplano,1,0,211427,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-05-03T18:06:55.362000144Z,3621,Altiplano,Altiplano,Altiplano,1,0,218281,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-05-07T14:30:47.743000149Z,3677,Altiplano,Altiplano,Altiplano,1,0,218247,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-05-22T19:11:02.981000167Z,3911,Altiplano,Altiplano,Altiplano,1,0,218875,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-05-25T15:29:56.757000167Z,3951,Altiplano,Altiplano,Altiplano,1,0,219048,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-06-10T09:36:15.573000163Z,4184,Altiplano,Altiplano,Altiplano,1,0,213983,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-06-19T21:02:33.521000172Z,4327,Altiplano,Altiplano,Altiplano,1,0,211629,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-06-21T05:54:36.445000172Z,4343,Altiplano,Altiplano,Altiplano,1,0,223130,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-06-21T13:31:46.673000172Z,4347,Altiplano,Altiplano,Altiplano,1,0,220032,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-06-21T22:34:45.212000172Z,4352,Altiplano,Altiplano,Altiplano,1,0,221363,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-06-24T00:11:43.996000172Z,4382,Altiplano,Altiplano,Altiplano,1,0,215133,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-06-25T12:40:21.461000172Z,4404,Altiplano,Altiplano,Altiplano,1,0,222263,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-07-06T19:08:20.444000177Z,4611,Altiplano,Altiplano,Altiplano,1,0,212598,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-07-10T11:57:20.199000107Z,4685,Altiplano,Altiplano,Altiplano,1,0,220997,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-07-12T00:08:51.675000112Z,4708,Altiplano,Altiplano,Altiplano,1,0,224302,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-07-15T00:56:13.187000112Z,4764,Altiplano,Altiplano,Altiplano,1,0,213658,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-08-23T11:28:33.478000105Z,5470,Altiplano,Altiplano,Altiplano,0,1,6419,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-23T12:27:26.539000105Z,5471,Altiplano,Altiplano,Altiplano,0,1,6153,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-23T13:31:27.690000105Z,5472,Altiplano,Altiplano,Altiplano,0,1,13313,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-23T14:40:18.331000105Z,5473,Altiplano,Altiplano,Altiplano,0,1,5947,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
