
 num     #instances         #bytes  class name
 157:          1202          19232  hudson.security.ACLContext
 158:           480          19200  org.eclipse.jetty.http.MetaData$Response
 159:           795          19080  java.util.Collections$3
 160:           214          18832  org.codehaus.groovy.ast.MethodNode
 161:           583          18656  sun.security.util.ObjectIdentifier
 162:           882          18544  [Ljava.lang.reflect.Type;
 163:           579          18528  java.lang.ref.ReferenceQueue
 164:           651          18288  [Ljava.lang.reflect.Field;
 165:           320          17920  org.eclipse.jetty.http.HttpURI
 166:           320          17920  org.eclipse.jetty.server.HttpChannelState
 167:           319          17864  org.codehaus.groovy.reflection.ClassInfo
 168:           159          17808  org.dom4j.io.HTMLWriter
 169:           911          17472  [Lsun.reflect.generics.tree.TypeArgument;
 170:           542          17344  java.util.logging.LogManager$LogNode
 171:           540          17280  com.thoughtworks.xstream.converters.reflection.FieldKey
 172:             9          17088  [[C
 173:          1042          16672  com.google.common.cache.LocalCache$StrongValueReference
 174:           511          16352  groovy.lang.MetaBeanProperty
 175:           407          16280  hudson.model.LoadStatistics$LoadStatisticsSnapshot
 176:           407          16280  hudson.model.LoadStatistics$LoadStatisticsSnapshot$Builder
 177:           336          16128  com.google.inject.internal.ConstructorBindingImpl
 178:           671          16104  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 179:           222          15984  org.codehaus.groovy.reflection.CachedClass
 180:           662          15888  java.util.Arrays$ArrayList
 181:           661          15864  sun.reflect.NativeConstructorAccessorImpl
 182:           387          15480  java.util.WeakHashMap$Entry
 183:           640          15360  org.eclipse.jetty.http.HttpFields
 184:           320          15360  org.eclipse.jetty.http.HttpGenerator
 185:           320          15360  org.eclipse.jetty.server.HttpConnection$SendCallback
 186:           958          15328  org.acegisecurity.GrantedAuthorityImpl
 187:           319          15312  org.codehaus.groovy.reflection.CachedClass$1
 188:           319          15312  org.codehaus.groovy.reflection.CachedClass$2
 189:           319          15312  org.codehaus.groovy.reflection.CachedClass$3
 190:           319          15312  org.codehaus.groovy.reflection.CachedClass$4
 191:           319          15312  org.codehaus.groovy.reflection.CachedClass$5
 192:           319          15312  org.codehaus.groovy.reflection.CachedClass$6
 193:           319          15312  org.codehaus.groovy.reflection.CachedClass$7
 194:           319          15312  org.codehaus.groovy.reflection.CachedClass$8
 195:           319          15312  org.codehaus.groovy.reflection.ClassInfo$LazyCachedClassRef
 196:           319          15312  org.codehaus.groovy.reflection.ClassInfo$LazyClassLoaderRef
 197:           477          15264  hudson.security.ChainedServletFilter$1
 198:           477          15264  java.util.Vector$Itr
 199:           477          15264  jenkins.security.stapler.StaplerDispatchValidator$$Lambda$132/1113789790
 200:           477          15264  org.acegisecurity.context.HttpSessionContextIntegrationFilter$OnRedirectUpdateSessionResponseWrapper
 201:           477          15264  org.eclipse.jetty.server.HttpChannel$SendCallback
 202:           477          15264  org.eclipse.jetty.server.session.AbstractSessionDataStore$1
 203:           318          15264  org.eclipse.jetty.util.MultiMap$1
 204:           634          15216  com.thoughtworks.xstream.core.util.PrioritizedList$PrioritizedItem
 205:           619          14856  java.util.ArrayDeque
 206:           206          14832  java.util.regex.Pattern
 207:           611          14664  java.lang.Class$AnnotationData
 208:           182          14560  java.net.URI
 209:           359          14360  com.google.inject.internal.SingletonScope$1
 210:           535          14128  [Ljava.nio.ByteBuffer;
 211:           350          14000  java.io.FileDescriptor
 212:           431          13792  java.lang.invoke.LambdaForm$Name
 213:           861          13776  sun.reflect.generics.tree.ClassTypeSignature
 214:           852          13632  org.codehaus.groovy.ast.ClassNode$MapOfLists
 215:           338          13520  com.google.inject.internal.MembersInjectorImpl
 216:           139          13344  java.util.jar.JarFile$JarFileEntry
 217:           332          13280  org.eclipse.jetty.xml.XmlParser$Node
 218:           324          12960  sun.nio.ch.SocketAdaptor
 219:           323          12920  java.io.PrintWriter
 220:           269          12912  java.util.Hashtable
 221:           807          12912  org.eclipse.jetty.util.thread.ScheduledExecutorScheduler$ScheduledFutureTask
 222:           802          12832  org.eclipse.jetty.io.IdleTimeout$$Lambda$106/171280834
 223:           320          12800  org.eclipse.jetty.http.MetaData$Request
 224:           320          12800  sun.nio.ch.SelectionKeyImpl
 225:           319          12760  org.codehaus.groovy.reflection.GroovyClassValuePreJava7$EntryWithValue
 226:           398          12736  org.jenkins.ui.icon.Icon
 227:           159          12720  com.jcraft.jzlib.Deflater
 228:           318          12720  hudson.security.AccessDeniedException2
 229:           318          12720  org.acegisecurity.InsufficientAuthenticationException
 230:           318          12720  org.kohsuke.stapler.jelly.HeaderTag
 231:           176          12672  org.codehaus.groovy.ast.Parameter
 232:           261          12528  sun.security.x509.X500Name
 233:           772          12352  java.util.concurrent.atomic.AtomicInteger
 234:           220          12320  java.security.Provider$Service
 235:           383          12256  com.google.inject.Key
 236:           151          12080  sun.net.www.protocol.jar.URLJarFile
 237:           377          12064  sun.security.x509.AlgorithmId
 238:           213          11928  sun.security.ssl.CipherSuite
 239:           492          11808  hudson.ExtensionList$1
 240:           489          11736  java.io.OutputStreamWriter
 241:           243          11664  java.lang.management.MemoryUsage
 242:           362          11584  com.google.inject.spi.ElementSource
 243:           360          11520  java.lang.StackTraceElement
 244:           359          11488  com.google.inject.internal.CycleDetectingLock$CycleDetectingLockFactory$ReentrantCycleDetectingLock
 245:           477          11448  com.jcraft.jzlib.Tree
 246:           477          11448  hudson.util.PluginServletFilter$1
 247:           477          11448  java.util.stream.MatchOps$$Lambda$111/1082785472
 248:           477          11448  java.util.stream.MatchOps$1MatchSink
 249:           477          11448  java.util.stream.MatchOps$MatchOp
 250:           477          11448  jenkins.security.stapler.StaplerDispatchValidator$$Lambda$129/1112757186
 251:           477          11448  jenkins.security.stapler.StaplerDispatchValidator$ValidatorCache$$Lambda$130/574784834
 252:           477          11448  org.apache.commons.jexl.util.introspection.UberspectImpl$VelMethodImpl
 253:           477          11448  org.eclipse.jetty.http.QuotedCSV
 254:           477          11448  org.eclipse.jetty.security.authentication.DeferredAuthentication
 255:           477          11448  org.eclipse.jetty.server.session.AbstractSessionCache$$Lambda$123/52873334
 256:           477          11448  org.eclipse.jetty.server.session.DefaultSessionCache$$Lambda$124/854526601
 257:           477          11448  org.kohsuke.stapler.compression.CompressionServletResponse
 258:           477          11448  sun.security.action.GetPropertyAction
 259:           473          11352  java.security.Provider$ServiceKey
 260:           353          11296  com.google.inject.spi.InjectionPoint
 261:           126          11232  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 262:           694          11104  sun.reflect.DelegatingConstructorAccessorImpl
 263:           341          10912  sun.misc.FDBigInteger
 264:           336          10752  com.google.inject.internal.ConstructorBindingImpl$Factory
 265:           336          10752  com.google.inject.internal.ConstructorInjector
 266:           192          10752  org.codehaus.groovy.ast.GenericsType
 267:           164          10496  hudson.TcpSlaveAgentListener$TcpSlaveAgentListenerRescheduler
 268:           328          10496  hudson.model.Queue$Snapshot
 269:           320          10240  [Ljava.nio.channels.SelectionKey;
 270:           320          10240  org.eclipse.jetty.io.ChannelEndPoint$2
 271:           320          10240  org.eclipse.jetty.io.ChannelEndPoint$3
 272:           320          10240  org.eclipse.jetty.io.ChannelEndPoint$4
 273:           320          10240  org.eclipse.jetty.server.HttpOutput$WriteBlocker
 274:           320          10240  org.eclipse.jetty.util.Utf8StringBuilder
 275:           320          10240  sun.nio.ch.WindowsSelectorImpl$MapEntry
 276:           319          10224  [Ljavax.servlet.http.Cookie;
 277:           319          10208  org.codehaus.groovy.util.LockableObject
 278:           159          10176  com.jcraft.jzlib.GZIPHeader
 279:           318          10176  java.io.CharArrayWriter
 280:           318          10176  java.util.concurrent.TimeoutException
 281:           318          10176  java.util.stream.Collectors$CollectorImpl
 282:           318          10176  java.util.stream.ReduceOps$3
 283:           318          10176  java.util.stream.ReduceOps$3ReducingSink
 284:           318          10176  org.eclipse.jetty.io.ManagedSelector$Accept
 285:           181          10136  java.lang.invoke.LambdaFormEditor$Transform
 286:           421          10104  java.util.Date
 287:           125          10000  sun.security.x509.X509CertImpl
 288:           404           9696  com.google.inject.TypeLiteral
 289:           302           9664  java.lang.ThreadLocal$ThreadLocalMap$Entry
 290:           291           9312  java.util.zip.ZipCoder
 291:           291           9312  org.eclipse.jetty.http.PreEncodedHttpField
 292:           581           9296  java.lang.ref.ReferenceQueue$Lock
 293:           166           9296  sun.nio.cs.ISO_8859_1$Encoder
 294:           383           9192  com.google.common.base.Suppliers$MemoizingSupplier
 295:           180           9128  [Lorg.codehaus.groovy.reflection.CachedMethod;
